	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3	median	mean	sd	F_stat	p	bonferroni_p	BH_p
75	5537	8991	9196	5632	9243	8980	1751	30	4825	83	1650	4573	5102	2211	3827	11	243	0	8034	6161	9	14	0	3791	0	0	1586	1986	4524	1636	2098.5	3320.86666666667	3243.57212337574	67.1843009905588	3.29498789445605e-11	2.49760082399769e-08	3.31994635958211e-10
76	45744	45501	42287	40148	42450	49998	41248	0	42730	0	40970	58445	79644	27965	41206	0	0	0	45801	43758	0	0	0	37189	0	0	27829	35794	38516	27558	37852.5	28492.7	22474.9267378653	67.1234749399039	3.32870611250976e-11	2.5231592332824e-08	3.31994635958211e-10
77	8305	9026	8288	8477	9635	9888	4787	0	7664	0	6028	0	10647	4702	7179	0	900	0	10608	8332	0	0	0	5942	15	0	4379	5177	6606	4216	4982	4693.36666666667	3944.53819230778	66.08891519918	3.96274360058638e-11	3.00375964924448e-08	3.86591518230611e-10
78	5302	5044	4472	4044	4918	4835	2176	0	2607	0	3044	3543	4198	3989	2306	0	0	0	6158	4114	0	0	0	0	0	0	3272	1913	4114	3131	2825.5	2439.33333333333	2093.5223302192	66.0045436405055	4.01989363960864e-11	3.04707937882335e-08	3.86591518230611e-10
79	124077	124790	108353	112350	121565	137667	83616	0	108338	0	85025	137523	204171	72473	104999	0	0	0	126658	114610	0	0	0	106059	0	0	70369	79023	106096	69073	84320.5	73227.8333333333	58331.6666279299	65.9910434047462	4.02912004488368e-11	3.05407299402183e-08	3.86591518230611e-10
80	75047	78720	76346	71837	72658	85397	73264	0	75209	0	66889	115094	125020	47649	73329	0	0	0	86595	80422	0	0	0	65482	0	0	43510	59427	64401	43034	64941.5	49311	39015.2397421563	65.7004447542602	4.23333852928629e-11	3.20887060519901e-08	4.01108825649876e-10
81	64004	64315	57493	58618	59639	69896	36403	0	58980	0	37928	64330	111879	38275	57430	0	0	0	68569	62155	0	0	0	50679	0	0	43442	48714	54642	42657	46078	38334.9333333333	30619.7073117538	63.4323692429498	6.26661372040486e-11	4.75009320006688e-08	5.86431259267517e-10
82	175948	174130	162269	150807	179744	181146	109923	0	130050	0	63932	0	0	93964	122304	0	0	0	184687	163262	0	0	0	129432	0	0	106250	0	139712	108731	100107	79209.7	75262.2162498417	62.9623754196778	6.80707859307812e-11	5.15976557355322e-08	6.29239704091856e-10
83	1234	1165	1034	1040	1311	1276	495	0	672	0	0	885	1095	958	443	0	0	6	1438	1018	0	0	0	953	0	0	796	562	967	730	701	602.6	515.503276018889	62.3037718774796	7.6503245365757e-11	5.79894599872438e-08	6.98668192617396e-10
84	5892	6717	6079	4974	8892	6742	3268	17	4351	92	3533	3977	8215	3942	4413	5	296	0	6067	5299	0	17	0	5377	19	0	2325	2700	6447	2333	3737.5	3399.63333333333	2836.5525516304	62.1446576404938	7.87044597990624e-11	5.96579805276893e-08	7.10214053901063e-10
